trade_date,ts_code,trade_date,close,open,high,low,Z_close,Z_open,Z_high,Z_low
2007-08-13,000001.SH,20070813,4820.064,4768.619,4872.548,4728.892,2.0272907762725416,1.9740603797178962,2.0815962312783527,1.932954655858894
2007-08-14,000001.SH,20070814,4872.785,4820.15,4876.851,4789.895,2.0578225483264694,2.003639518406027,2.0620081320570005,1.9724946989846739
2007-08-15,000001.SH,20070815,4869.883,4875.511,4916.31,4762.718,2.031548383343746,2.0373137175692175,2.079108293096043,1.9217683474033485
2007-08-16,000001.SH,20070816,4765.448,4845.016,4845.016,4710.31,1.9044026332558124,1.985601047423861,1.985601047423861,1.8481348100052857
2007-08-17,000001.SH,20070817,4656.574,4733.137,4814.369,4646.433,1.7760756778898736,1.854000281741831,1.9366769195447149,1.7657543293577802
2007-08-20,000001.SH,20070820,4904.855,4773.832,4906.003,4758.397,2.006667780633495,1.8738800602449335,2.007831242796673,1.8582371695753754
2007-08-21,000001.SH,20070821,4955.207,4944.214,4982.981,4917.821,2.0346975962197464,2.0236079224597816,2.062715844105606,1.9969828192534915
2007-08-22,000001.SH,20070822,4980.075,4876.345,4999.195,4861.271,2.036797921429756,1.9326348748498425,2.055997742605963,1.917497944702868
2007-08-23,000001.SH,20070823,5032.494,5002.841,5050.383,4968.327,2.0655505872309745,2.035920562339787,2.083425726855244,2.001433303745565
2007-08-24,000001.SH,20070824,5107.668,5070.651,5125.359,5052.241,2.115480941535627,2.0786891547120474,2.1330643086560306,2.060391162021605
2007-08-27,000001.SH,20070827,5150.118,5144.824,5192.061,5092.076,2.1323472619010775,2.127112983009514,2.1738171069235173,2.0749600281602265
2007-08-28,000001.SH,20070828,5194.689,5134.141,5209.507,5058.446,2.150433341300003,2.090896769291301,2.1650038130583584,2.016466221326073
2007-08-29,000001.SH,20070829,5109.427,5147.713,5204.526,5063.412,2.0434128260973927,2.0808840934467416,2.1364881030564833,1.9983770331944966
2007-08-30,000001.SH,20070830,5167.884,5144.111,5186.526,5109.662,2.0767221284029875,2.053567184938837,2.0948794689178016,2.0200137988539297
2007-08-31,000001.SH,20070831,5218.825,5184.091,5235.157,5158.368,2.101856598634094,2.06819358697428,2.1176850176594897,2.043263730092682
2007-09-03,000001.SH,20070903,5321.055,5257.777,5327.538,5257.777,2.1744447732734367,2.113459584115378,2.1806928686827676,2.113459584115378
2007-09-04,000001.SH,20070904,5294.045,5333.4,5357.926,5264.996,2.123330762769071,2.161064190055041,2.1845796274229925,2.0954786898627025
2007-09-05,000001.SH,20070905,5310.716,5296.07,5337.929,5223.67,2.1145372319790896,2.100565444566689,2.1404975112945093,2.0314982993626907
2007-09-06,000001.SH,20070906,5393.66,5336.669,5412.319,5314.337,2.1673709985665797,2.1133033185776227,2.1850728960752033,2.0921168254556677
2007-09-07,000001.SH,20070907,5277.176,5381.186,5405.358,5269.25,2.0342285433569534,2.132474699071339,2.1553071774477277,2.0267417725638346
2007-09-10,000001.SH,20070910,5355.287,5208.318,5356.856,5169.905,2.0839417458931884,1.9457922138815105,2.0854165917159553,1.9096843409752198
2007-09-11,000001.SH,20070911,5113.968,5362.941,5395.038,5093.923,1.8388746364453157,2.0722328710538163,2.102316853076883,1.8200867927324333
2007-09-12,000001.SH,20070912,5172.627,5092.576,5192.302,5025.336,1.8748980801002972,1.800101948754496,1.893281534201165,1.7372758519950349
2007-09-13,000001.SH,20070913,5273.592,5193.409,5276.771,5178.871,1.9486677552846428,1.8740227180470295,1.9516271927386963,1.860488807475457
2007-09-14,000001.SH,20070914,5312.182,5290.256,5324.439,5201.854,1.963879887277833,1.943542126261916,1.9752490351740344,1.8615436427569843
2007-09-17,000001.SH,20070917,5421.392,5309.057,5427.171,5307.774,2.0424624977850643,1.9387148085320438,2.0477997292462584,1.937529885887173
2007-09-18,000001.SH,20070918,5425.208,5446.732,5458.578,5339.917,2.02375409696953,2.0435500796071393,2.054445043848225,1.945310538377062
2007-09-19,000001.SH,20070919,5395.265,5439.018,5447.36,5336.07,1.975168673570905,2.01525766586499,2.022901081715726,1.9209308407629055
2007-09-20,000001.SH,20070920,5470.065,5408.484,5482.425,5396.109,2.0216693940799675,1.9654729315901787,2.0329486567807002,1.9541799804638387
2007-09-21,000001.SH,20070921,5454.674,5482.507,5489.074,5363.347,1.9864601518440084,2.0117645631965244,2.01773496054327,1.9034300805045452
2007-09-24,000001.SH,20070924,5485.013,5469.837,5506.064,5404.419,1.9927429241327133,1.9789977489038861,2.0118091921705394,1.9197474936904275
